date,symbol,marketcapname,sector
01-09-2022,BEL,Largecap,FMCG
01-09-2022,BHEL,Largecap,FMCG
01-09-2022,LICHSGFIN,Midcap,Finance
01-09-2022,ESCORTS,Largecap,Auto
01-09-2022,M&M,Largecap,Auto
01-09-2022,INDHOTEL,Largecap,Services
01-09-2022,SRF,Largecap,Industrials
01-09-2022,BANKBARODA,Largecap,Bank
01-09-2022,TVSMOTOR,Largecap,Auto
01-09-2022,ASTRAL,Largecap,FMCG
01-09-2022,DLF,Largecap,Realty
01-09-2022,OBEROIRLTY,Largecap,Realty
02-09-2022,ITC,Largecap,FMCG
05-09-2022,LICHSGFIN,Midcap,Finance
05-09-2022,RAIN,Midcap,Services
05-09-2022,ITC,Largecap,FMCG
06-09-2022,APOLLOTYRE,Largecap,Auto
06-09-2022,BHARTIARTL,Largecap,Telecom
06-09-2022,PNB,Largecap,Bank
06-09-2022,NTPC,Largecap,Miscellaneous
07-09-2022,CIPLA,Largecap,Pharmaceuticals
07-09-2022,ACC,Largecap,Industrials
07-09-2022,DIXON,Midcap,FMCG
07-09-2022,CONCOR,Largecap,Services
07-09-2022,GODREJCP,Largecap,FMCG
07-09-2022,PNB,Largecap,Bank
07-09-2022,JKCEMENT,Largecap,Industrials
07-09-2022,M&MFIN,Largecap,Finance
07-09-2022,COALINDIA,Largecap,Industrials
07-09-2022,ABFRL,Largecap,FMCG
08-09-2022,ACC,Largecap,Industrials
08-09-2022,ICICIBANK,Largecap,Bank
08-09-2022,PNB,Largecap,Bank
09-09-2022,CONCOR,Largecap,Services
12-09-2022,CHAMBLFERT,Midcap,Industrials
12-09-2022,ACC,Largecap,Industrials
12-09-2022,ABCAPITAL,Largecap,Finance
12-09-2022,CONCOR,Largecap,Services
12-09-2022,ICICIBANK,Largecap,Bank
13-09-2022,VEDL,Largecap,Industrials
13-09-2022,SIEMENS,Largecap,FMCG
13-09-2022,TATACONSUM,Largecap,FMCG
13-09-2022,BRITANNIA,Largecap,FMCG
13-09-2022,HINDCOPPER,Midcap,Metals
13-09-2022,CONCOR,Largecap,Services
13-09-2022,INDUSINDBK,Largecap,Bank
13-09-2022,BHARTIARTL,Largecap,Telecom
13-09-2022,SUNTV,Midcap,Media
13-09-2022,L&TFH,Largecap,Finance
14-09-2022,SBIN,Largecap,Bank
14-09-2022,HDFCBANK,Largecap,Bank
14-09-2022,SIEMENS,Largecap,FMCG
14-09-2022,AUBANK,Largecap,Bank
14-09-2022,MARICO,Largecap,FMCG
14-09-2022,INDUSINDBK,Largecap,Bank
14-09-2022,CANBK,Largecap,Bank
14-09-2022,NTPC,Largecap,Miscellaneous
14-09-2022,L&TFH,Largecap,Finance
15-09-2022,MARUTI,Largecap,Auto
15-09-2022,NTPC,Largecap,Miscellaneous
15-09-2022,DELTACORP,Midcap,Media
15-09-2022,GUJGASLTD,Largecap,Miscellaneous
16-09-2022,DELTACORP,Midcap,Media
19-09-2022,MARUTI,Largecap,Auto
20-09-2022,HDFC,Largecap,Finance
20-09-2022,BAJFINANCE,Largecap,Finance
20-09-2022,CIPLA,Largecap,Pharmaceuticals
20-09-2022,EICHERMOT,Largecap,Auto
20-09-2022,SUNPHARMA,Largecap,Pharmaceuticals
20-09-2022,INDUSINDBK,Largecap,Bank
21-09-2022,BAJFINANCE,Largecap,Finance
21-09-2022,APOLLOHOSP,Largecap,Pharmaceuticals
21-09-2022,NMDC,Largecap,Industrials
21-09-2022,MARICO,Largecap,FMCG
22-09-2022,BAJFINANCE,Largecap,Finance
22-09-2022,TRENT,Largecap,FMCG
22-09-2022,BRITANNIA,Largecap,FMCG
22-09-2022,EICHERMOT,Largecap,Auto
22-09-2022,NMDC,Largecap,Industrials
22-09-2022,MARICO,Largecap,FMCG
23-09-2022,SUNPHARMA,Largecap,Pharmaceuticals
27-09-2022,CIPLA,Largecap,Pharmaceuticals
29-09-2022,CIPLA,Largecap,Pharmaceuticals
